date,ticker,score,bucket,themes,price,mcap_usd
2026-05-14,FN,64.6,60-70,laser_photonique,746.47,
2026-05-14,BKSY,64.4,60-70,espace|robotique,42.66,
2026-05-14,URG,63.7,60-70,production_energie,1.83,
2026-05-14,GFS,63.3,60-70,semiconducteurs,73.73,
2026-05-14,ACLS,63.2,60-70,semiconducteurs,161.64,
2026-05-14,BOTT,63.0,60-70,robotique,55.69,
2026-05-14,QRVO,62.9,60-70,semiconducteurs,90.46,
2026-05-14,AMRC,62.7,60-70,gestion_thermique,33.28,
2026-05-14,ETN,62.1,60-70,equipement_electrique,408.1,
2026-05-14,SEDG,62.1,60-70,equipement_electrique,50.24,
2026-05-14,COHR,61.7,60-70,laser_photonique,404.94,
2026-05-14,CRUS,61.3,60-70,semiconducteurs,162.84,
2026-05-14,MRVL,60.5,60-70,ia|semiconducteurs,182.58,
2026-05-14,AMKR,60.5,60-70,semiconducteurs,72.01,
2026-05-14,KLIC,60.4,60-70,semiconducteurs,103.91,
2026-05-14,AEHR,60.3,60-70,new_tech|semiconducteurs,106.34,
2026-05-14,VSAT,60.3,60-70,espace,74.3,
2026-05-14,SATL,60.2,60-70,espace,8.64,
2026-05-14,MCHP,58.7,50-60,semiconducteurs,96.56,
2026-05-14,OMCL,58.7,50-60,robotique,43.8,
2026-05-14,VIAV,58.7,50-60,laser_photonique,53.11,
2026-05-14,CRDO,58.6,50-60,ia,184.54,
2026-05-14,MRCY,58.3,50-60,defense|espace,94.55,
2026-05-14,VVX,58.3,50-60,defense|laser_photonique,70.95,
2026-05-14,TSLA,58.0,50-60,new_tech,443.3,
2026-05-14,BE,57.6,50-60,equipement_electrique|production_energie,303.41,
2026-05-14,ALAB,57.6,50-60,ia,228.64,
2026-05-14,ISOU,57.6,50-60,production_energie,11.92,
2026-05-14,NVEC,57.5,50-60,semiconducteurs,91.63,
2026-05-14,POWI,57.4,50-60,equipement_electrique|semiconducteurs,71.49,
2026-05-14,ONDS,57.1,50-60,defense|equipement_electrique|espace|laser_photonique|robotique,11.21,
2026-05-14,DIOD,56.7,50-60,semiconducteurs,103.65,
2026-05-14,ALGM,56.5,50-60,semiconducteurs,44.97,
2026-05-14,VECO,56.2,50-60,semiconducteurs,59.51,
2026-05-14,CVV,56.1,50-60,new_tech,6.85,
2026-05-14,DRS,56.0,50-60,defense,42.77,
2026-05-14,PLUG,55.7,50-60,new_tech|production_energie,3.79,
2026-05-14,POWL,55.7,50-60,equipement_electrique,296.88,
2026-05-14,AOSL,55.4,50-60,equipement_electrique|gestion_thermique|semiconducteurs,41.1,
2026-05-14,AMSC,55.4,50-60,equipement_electrique,54.7,
2026-05-14,MYRG,55.1,50-60,equipement_electrique,473.07,
2026-05-14,BBAI,54.7,50-60,defense|ia|new_tech,4.38,
2026-05-14,RMBS,54.2,50-60,semiconducteurs,130.46,
2026-05-14,SMP,54.0,50-60,gestion_thermique,38.21,
2026-05-14,BRKR,53.5,50-60,robotique,44.12,
2026-05-14,FSLR,53.1,50-60,production_energie,231.62,
2026-05-14,IMOS,52.9,50-60,semiconducteurs,52.92,
2026-05-14,SHLS,52.8,50-60,equipement_electrique,9.28,
2026-05-14,SWKS,52.7,50-60,semiconducteurs,66.48,
2026-05-14,TER,52.4,50-60,robotique,356.42,
2026-05-14,ZBRA,52.2,50-60,robotique,258.1,
2026-05-14,ONTO,52.0,50-60,semiconducteurs,277.28,
2026-05-14,VUZI,51.9,50-60,ia|laser_photonique,3.08,
