ticker,themes,score,setup,price,rsi,macd_hist,chg_1d,chg_7d,chg_1m,avg_dollar_vol,dist_to_high_pct,base_depth_pct,bbwidth_pctile,vol_dryup,overext,c_trend,c_base,c_vcp,c_volume,c_pivot,c_momentum,c_rs,c_hi52,mcap_usd,catalyst,catalyst_days,catalyst_n,buzz,first_scan_date,first_scan_price,pct_since_first,days_tracked
LPTH,laser_photonique,48.6,En base (loin du pivot),14.56,49.7,0.04,-8.37,6.82,-9.45,55634649.0,23.1,43.5,20.0,0.28,0.0,0.744,0.361,0.758,0.139,0.0,0.865,0.722,0.229,909190584.6172904,,,0,,2026-01-12,11.99,21.43,175
COHU,semiconducteurs,48.5,En base (loin du pivot),59.27,48.4,-0.503,-14.24,-12.01,2.92,95221226.0,20.5,44.3,85.0,0.29,0.0,1.0,0.317,0.09,0.428,0.0,0.401,0.889,0.315,2872336968.110611,,,0,,2026-01-05,25.1,136.14,182
ALAB,ia,48.4,En base (loin du pivot),406.42,55.7,-1.389,-5.67,2.12,14.24,2600829382.0,18.6,64.1,58.0,0.17,0.0,1.0,0.0,0.252,0.246,0.0,0.529,0.96,0.379,75162381251.5,Vote actionnaires,28.0,1,,2026-01-05,167.11,143.21,182
SPXC,equipement_electrique|gestion_thermique,48.3,Setup en formation,227.74,48.2,-1.538,-1.72,-6.88,-1.02,240452117.0,9.3,23.8,19.0,0.0,0.0,0.846,1.0,0.486,0.0,0.588,0.388,0.357,0.69,11593013996.61139,Direction,14.0,1,,2026-01-05,205.44,10.85,182
AEVA,ia|laser_photonique,48.2,En base (loin du pivot),23.98,50.8,0.056,-13.74,19.01,-13.62,62682683.0,23.4,60.0,48.0,0.0,0.0,0.978,0.0,0.314,0.315,0.0,0.876,0.873,0.0,1709315951.8623104,Vote actionnaires,11.0,1,,2026-03-25,15.26,57.14,103
LRCX,semiconducteurs,47.6,En base (loin du pivot),351.41,48.4,-2.919,-10.19,-12.55,5.16,5448557258.0,19.9,44.9,83.0,0.0,0.0,1.0,0.281,0.1,0.364,0.0,0.401,0.889,0.338,442240630278.4424,,,0,,2026-01-05,194.39,80.78,182
UMAC,defense,47.4,En base (loin du pivot),22.08,50.2,-0.458,-4.91,17.38,-33.93,134932354.0,35.7,62.3,44.0,0.52,0.0,0.742,0.0,0.54,0.351,0.0,0.925,0.817,0.0,1048479185.8125,Contrat,11.0,1,,2026-01-27,16.29,35.54,160
GFS,semiconducteurs,46.9,En base (loin du pivot),69.84,39.8,-1.644,-9.57,-18.9,-17.33,264325379.0,24.4,37.4,47.0,1.0,0.0,0.947,0.7,0.441,0.799,0.0,0.0,0.69,0.186,38398086135.29226,,,0,,2026-01-05,37.08,88.35,182
QTEX,quantique,46.6,En base (loin du pivot),1.43,46.6,-0.09,-5.3,-12.8,-38.36,36064958.0,62.9,92.6,79.0,1.0,0.0,1.0,0.0,0.335,0.827,0.0,0.322,0.81,0.0,84424371.67328167,,,0,,2026-07-03,1.43,0.0,3
ISSC,defense,45.5,Setup en formation,18.39,54.6,0.23,3.14,8.24,6.98,8167912.0,18.2,33.0,9.0,0.49,0.0,0.3,0.945,0.798,0.743,0.0,0.827,0.254,0.0,336204732.51129913,,,0,,2026-01-12,19.77,-6.98,175
ALNT,gestion_thermique,45.4,En base (loin du pivot),86.89,46.4,-1.104,-11.9,-15.03,1.72,29317612.0,17.0,44.0,61.0,0.0,0.0,1.0,0.334,0.233,0.228,0.0,0.278,0.857,0.434,1499007370.6530762,,,0,,2026-01-05,58.26,49.14,182
ASPN,robotique,44.3,En base (loin du pivot),5.58,47.2,-0.068,-5.9,-1.76,-10.29,9172874.0,16.7,52.9,13.0,0.54,0.0,0.971,0.0,0.647,0.322,0.0,0.636,0.77,0.0,461627427.4368577,,,0,,2026-04-09,3.74,49.2,88
GNRC,equipement_electrique,43.9,En base (loin du pivot),252.66,43.6,-2.214,-6.5,-14.4,-11.22,265989113.0,14.8,28.8,48.0,0.0,0.0,0.904,1.0,0.314,0.201,0.0,0.103,0.651,0.508,15225207254.474731,Vote actionnaires,24.0,1,,2026-01-20,162.06,55.91,167
KLAC,semiconducteurs,43.8,En base (loin du pivot),235.55,49.8,-0.858,-11.51,-8.98,15.17,4026959324.0,23.4,46.5,90.0,0.0,0.0,1.0,0.193,0.057,0.203,0.0,0.486,0.889,0.221,306230087912.8546,8-K,24.0,1,,2026-01-05,134.9,74.61,182
POWI,equipement_electrique|semiconducteurs,43.8,En base (loin du pivot),72.99,42.8,-1.074,-9.07,-13.94,-13.3,89485464.0,19.9,29.5,49.0,0.58,0.0,0.912,1.0,0.431,0.288,0.0,0.06,0.69,0.335,4202122644.373169,,,0,,2026-01-12,41.25,76.95,175
AIRJ,gestion_thermique,43.5,En base (loin du pivot),4.84,53.1,0.007,-6.66,2.33,-11.77,8987544.0,19.4,50.4,69.0,0.0,0.0,1.0,0.0,0.188,0.0,0.0,0.842,0.905,0.054,362364951.22558975,,,0,,2026-05-07,3.48,39.08,60
DRS,defense,43.5,En base (loin du pivot),43.72,46.6,-0.474,2.41,-1.44,-7.74,54265577.0,13.6,24.0,59.0,0.0,0.0,0.7,1.0,0.248,0.097,0.053,0.654,0.341,0.547,11953609484.811975,,,0,,2026-01-20,41.9,4.34,167
FCEL,new_tech|production_energie,43.3,En base (loin du pivot),28.11,57.9,1.002,-11.85,43.05,14.08,332446283.0,25.8,74.6,90.0,0.0,0.38,1.0,0.0,0.062,0.5,0.0,0.845,0.976,0.14,2102174736.4600697,Contrat,12.0,2,,2026-01-20,8.64,225.35,167
ATRO,defense,43.2,En base (loin du pivot),70.83,43.4,-1.09,-6.88,-18.73,3.67,74111534.0,20.2,40.5,85.0,0.0,0.0,1.0,0.528,0.09,0.293,0.0,0.089,0.889,0.328,3530878742.9993896,,,0,,2026-01-05,46.39,52.68,182
