ticker_tv,ticker_yf,exchange,market_cap,price,sector,industry,technical_local,tech_score,tv_reco,analyst_bucket,analyst_mean,analyst_votes
NWL,NWL,NMS,2613088555.955887,6.235000133514404,Consumer Discretionary,Housewares & Specialties,Buy,2,,,,10.0
NEU,NEU,NYQ,7717349833.331299,821.2899780273438,Materials,Specialty Chemicals,Strong Buy,4,,,,
NEM,NEM,NYQ,82790183134.74316,75.37000274658203,Materials,Gold,Strong Buy,4,,Buy,2.0,19.0
NWSA,NWSA,NMS,16993815062.950928,28.700000762939453,Communication Services,Publishing,Strong Sell,-4,,Buy,1.66667,9.0
NWS,NWS,NMS,16774030204.834473,32.61000061035156,Communication Services,Publishing,Strong Sell,-4,,Buy,1.66667,1.0
NXST,NXST,NMS,6220953794.509888,205.2050018310547,Communication Services,Broadcasting,Buy,2,,Strong Buy,1.55556,9.0
NEE,NEE,NYQ,147620197475.47656,71.68499755859375,Utilities,Multi-Utilities,Sell,-2,,Buy,2.2,18.0
NKE,NKE,NYQ,110110277564.9541,74.55500030517578,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Neutral,-1,,Buy,2.17949,34.0
NI,NI,NYQ,19707636144.299683,41.85499954223633,Utilities,Multi-Utilities,Neutral,-1,,Strong Buy,1.5,12.0
NNN,NNN,NYQ,8036449682.388306,42.56999969482422,Real Estate,Retail REITs,Buy,3,,Hold,2.94444,17.0
NDSN,NDSN,NMS,12432618045.55664,221.27490234375,Industrials,Industrial Machinery & Supplies & Components,Buy,3,,Buy,2.0,10.0
NSC,NSC,NYQ,62299739942.26074,277.68499755859375,Industrials,Rail Transportation,Neutral,1,,Buy,2.43478,19.0
NTRS,NTRS,NMS,24602893127.60742,129.02999877929688,Financials,Asset Management & Custody Banks,Neutral,1,,,,12.0
NOC,NOC,NYQ,82890071316.0332,578.9099731445312,Industrials,Aerospace & Defense,Neutral,-1,,Buy,2.22727,20.0
NCLH,NCLH,NYQ,11411409048.0,25.25,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Buy,2,,Buy,1.73913,21.0
NOV,NOV,NYQ,4824031161.081299,12.989999771118164,Energy,Oil & Gas Equipment & Services,Neutral,-1,,Buy,2.47826,21.0
NRG,NRG,NYQ,28177094581.177246,145.6699981689453,Utilities,Independent Power Producers & Energy Traders,Strong Sell,-4,,Buy,2.1,9.0
NUE,NUE,NYQ,33155185911.72461,144.44500732421875,Materials,Steel,Neutral,-1,,Buy,1.73333,13.0
NTNX,NTNX,NMS,18061687336.0,67.375,Information Technology,Software - Infrastructure,Sell,-2,,Buy,1.625,13.0
NVR,NVR,NYQ,22715830962.597656,8221.1396484375,Consumer Discretionary,Homebuilding,Strong Buy,4,,,,3.0
ORLY,ORLY,NMS,88375625107.33984,103.84500122070312,Consumer Discretionary,Automotive Retail,Buy,2,,,,22.0
OXY,OXY,NYQ,45751847497.86377,46.474998474121094,Energy,Oil & Gas Exploration & Production,Buy,2,,Hold,2.83333,23.0
OGE,OGE,NYQ,8911729104.0,44.25,Utilities,Multi-Utilities,Sell,-2,,Buy,2.4,8.0
OKTA,OKTA,NMS,15781122128.219604,89.5199966430664,Information Technology,Application Software,Strong Sell,-4,,Buy,1.97778,40.0
ODFL,ODFL,NMS,31291913391.723633,148.88999938964844,Industrials,Cargo Ground Transportation,Strong Sell,-4,,Hold,2.625,21.0
ORI,ORI,NYQ,9987251574.172974,40.19499969482422,Financials,Property & Casualty Insurance,Strong Buy,6,,Buy,2.33333,2.0
OLN,OLN,NYQ,2667719392.478943,23.270000457763672,Materials,Diversified Chemicals,Buy,2,,,,15.0
OLLI,OLLI,NGM,7889998987.5,128.625,Consumer Discretionary,General Merchandise Stores,Sell,-2,,Buy,1.86667,15.0
OHI,OHI,NYQ,12889455910.91211,42.5099983215332,Real Estate,REIT - Healthcare Facilities,Strong Buy,4,,Buy,2.25,14.0
OMC,OMC,NYQ,15013533120.0,77.5,Communication Services,Advertising,Buy,2,,,,9.0
ON,ON,NMS,19279034864.62207,47.13999938964844,Information Technology,Semiconductors,Strong Sell,-4,,,,30.0
OMF,OMF,NYQ,7297429227.44751,61.38999938964844,Financials,Credit Services,Strong Buy,4,,Buy,1.8125,14.0
OKE,OKE,NYQ,46601129576.271484,73.99870300292969,Energy,Oil & Gas Storage & Transportation,Strong Sell,-4,,Buy,2.0,18.0
ONTO,ONTO,NYQ,4986606440.682983,101.76000213623047,Information Technology,Semiconductor Materials & Equipment,Sell,-3,,,,8.0
OGN,OGN,NYQ,2563264670.747757,9.859999656677246,Health Care,Pharmaceuticals,Buy,2,,Hold,3.0,6.0
OSK,OSK,NYQ,8726441295.626831,136.35000610351562,Industrials,Construction Machinery & Heavy Transportation Equipment,Neutral,-1,,Buy,1.93333,14.0
OTIS,OTIS,NYQ,34168437790.924072,85.5999984741211,Industrials,Industrial Machinery & Supplies & Components,Strong Sell,-4,,,,13.0
OVV,OVV,NYQ,10658038912.500732,41.46500015258789,Energy,Oil & Gas E&P,Strong Buy,4,,Buy,1.65217,21.0
OC,OC,NYQ,12575080310.821533,148.16000366210938,Industrials,Building Products,Sell,-3,,Buy,1.82353,15.0
PCAR,PCAR,NMS,50640935373.509766,96.44000244140625,Industrials,Construction Machinery & Heavy Transportation Equipment,Strong Sell,-4,,Buy,2.42105,16.0
PKG,PKG,NYQ,19231168539.56909,213.72999572753906,Materials,Paper & Plastic Packaging Products & Materials,Buy,2,,Buy,2.4,9.0
PANW,PANW,NMS,127686314483.25586,190.88999938964844,Information Technology,Systems Software,Buy,2,,Buy,1.77358,46.0
PK,PK,NYQ,2381975302.373886,11.914999961853027,Real Estate,Hotel & Resort REITs,Buy,2,,Hold,2.6,13.0
PH,PH,NYQ,94366685217.89551,744.9099731445312,Industrials,Industrial Machinery & Supplies & Components,Neutral,1,,Buy,1.66667,21.0
