ticker_tv,ticker_yf,exchange,market_cap,price,sector,industry,technical_local,tech_score,tv_reco,analyst_bucket,analyst_mean,analyst_votes,rank_score
CROX,CROX,NMS,4942874700.0,90.5,Consumer Discretionary,Footwear,Neutral,-1,,Buy,2.42857,12.0,1.6
THO,THO,NYQ,5757506754.336548,108.9124984741211,Consumer Discretionary,Leisure Products,Buy,2,,Hold,2.66667,12.0,1.6
MKTX,MKTX,NMS,6733143647.415161,180.2050018310547,Financials,Financial Exchanges & Data,Strong Sell,-4,,Buy,2.26667,12.0,1.6
PNFP,PNFP,NMS,7518278543.670654,96.93000030517578,Financials,Regional Banks,Neutral,-1,,Buy,2.38462,12.0,1.6
COLB,COLB,NMS,7939998826.219238,26.540000915527344,Financials,Regional Banks,Buy,2,,Hold,2.66667,12.0,1.6
AES,AES,NYQ,9423981293.777039,13.234999656677246,Utilities,Independent Power Producers & Energy Traders,Neutral,1,NEUTRAL,Buy,2.35714,12.0,1.6
IVZ,IVZ,NYQ,9601605226.219177,21.530000686645508,Financials,Asset Management & Custody Banks,Buy,2,,,,12.0,1.6
AVY,AVY,NYQ,13009670470.788574,166.8300018310547,Materials,Paper & Plastic Packaging Products & Materials,Strong Sell,-6,,Buy,2.15385,12.0,1.6
RYAN,RYAN,NYQ,14606302589.468994,55.209999084472656,Financials,Insurance - Specialty,Strong Sell,-6,,Buy,1.93333,12.0,1.6
WY,WY,NYQ,17893905148.817505,24.800600051879883,Real Estate,Timber REITs,Strong Sell,-4,,Buy,1.61538,12.0,1.6
FE,FE,NYQ,24917870296.121094,43.154998779296875,Utilities,Electric Utilities,Neutral,-1,,Buy,2.26667,12.0,1.6
IP,IP,NYQ,25512090851.992676,48.31999969482422,Materials,Paper & Plastic Packaging Products & Materials,Neutral,-1,,Buy,2.07692,12.0,1.6
OWL,OWL,NYQ,27885577349.531494,17.99650001525879,Financials,Asset Management,Strong Sell,-6,,Buy,1.71429,12.0,1.6
DTE,DTE,NYQ,28054481146.91162,135.14500427246094,Utilities,Multi-Utilities,Sell,-2,,Buy,2.1875,12.0,1.6
LPLA,LPLA,NMS,28437456899.8125,355.45001220703125,Financials,Capital Markets,Sell,-2,,Buy,2.0,12.0,1.6
BRO,BRO,NYQ,31430740534.300293,95.29000091552734,Financials,Insurance Brokers,Strong Sell,-4,,Buy,2.42857,12.0,1.6
SRE,SRE,NYQ,53306960408.81348,81.69999694824219,Utilities,Multi-Utilities,Neutral,1,,Buy,2.13333,12.0,1.6
CEG,CEG,NMS,96064849920.0,307.5,Utilities,Multi-Utilities,Strong Sell,-4,,Buy,1.85714,12.0,1.6
MO,MO,NYQ,111359912819.90527,66.29000091552734,Consumer Staples,Tobacco,Buy,2,,Hold,2.66667,12.0,1.6
CLF,CLF,NYQ,5134934239.653351,10.380000114440918,Materials,Steel,Neutral,1,,Buy,2.41667,11.0,1.55
VNT,VNT,NYQ,6190740111.923218,42.20000076293945,Information Technology,Electronic Equipment & Instruments,Neutral,-1,,Buy,1.75,11.0,1.55
STAG,STAG,NYQ,6933706676.391602,36.36000061035156,Real Estate,REIT - Industrial,Buy,2,,,,11.0,1.55
AA,AA,NYQ,8102745195.113647,31.295000076293945,Materials,Aluminum,Neutral,1,BUY,Buy,2.08333,11.0,1.55
WCC,WCC,NYQ,10525984967.08374,216.30499267578125,Industrials,Industrial Distribution,Neutral,1,,Buy,1.75,11.0,1.55
GL,GL,NYQ,11311329249.119385,139.63999938964844,Financials,Life & Health Insurance,Buy,2,,,,11.0,1.55
POOL,POOL,NMS,11315190461.120605,303.2099914550781,Consumer Discretionary,Distributors,Strong Sell,-4,,Buy,2.25,11.0,1.55
SNX,SNX,NYQ,12248798452.558105,147.0399932861328,Information Technology,Technology Distributors,Neutral,-1,,Buy,1.63636,11.0,1.55
MEDP,MEDP,NMS,13364683198.638916,475.7300109863281,Health Care,Diagnostics & Research,Buy,2,,Hold,3.16667,11.0,1.55
